name,address,borough,latitude,longitude,phone,website,clinic_type,has_sti_testing,has_hiv_testing,has_prep,has_pep,hours,walk_in,data_source,notes
Community Health Care Association of New York State,Community Health Care Association of New York State,,,,(518) 434-0767,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Mobile Unit,,40.8407,-73.94163,(212) 545-2495,"http://www.chnnyc.org/find-us/mobile-van, https://www.facebook.com/CommunityHealthcareNetwork, https://www.twitter.com/chnnyc",HIV Testing,true,true,false,false,Tuesday: 1:00PM - 9:00PM; Thursday: 12:00PM - 8:00PM; Friday: 1:00PM - 9:00PM,,NYC Open Data: hiv_testing,
NYC DOHMH,NYC DOHMH STD Control,,,,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
New York State Health Department,NY State DOH AIDS Institute,,,,1-800-541-AIDS,http://www.health.ny.gov/diseases/aids/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Pace University-LGBTQA & Social Justice Center,Pace University-LGBTQA & Social Justice Center,,40.815796,-73.929978,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Staten Island LGBT Community Center,Staten Island LGBT Community Center,,40.656305,-73.888115,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
The HIV Center for Clinical and Behavioral Studies at the New York State Psychiatric Institute and Columbia University,The HIV Center for Clinical and Behavioral Studies at the New York State Psychiatric Institute and Columbia University,,40.759733,-73.973702,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
The Nigerian LGBT Community in New York City,The Nigerian LGBT Community in New York City,,,,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Young Women of Color HIV/AIDS Coalition,Young Women of Color HIV/AIDS Coalition,,40.81921,-73.93554,,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Bronx - Lebanon Hospital Center,Bronx - Lebanon HIV Testing Administrative Office,Bronx,,,(718) 960-1480,http://www.bronxcare.org/,HIV Testing,true,true,false,false,Monday: 9:00 AM - 4:00 PM; Tuesday: 9:00 AM - 4:00 PM; Wednesday: 9:00 AM - 4:00 PM; Thursday: 9:00 AM - 4:00 PM; Friday: 9:00 AM - 4:00 PM,,NYC Open Data: hiv_testing,
Bronx Community Health Network,Bronx Community Health Network - Corporate,Bronx,40.852577,-73.881072,(718) 405-7720,http://www.bchnhealth.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Bronx HIV Advocacy Network,Bronx HIV Advocacy Network,Bronx,,,(347) 805-5180,http://www.bronxhivadvocacy.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
BronxWorks,BronxWorks HIV Prevention for Adolescents,Bronx,,,(718) 508-3049,http://www.bronxworks.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Tremont Health Center,Bronx,,,(718) 294-5891,http://www.chnnyc.org/our-locations/tremont-health-center,HIV Testing,true,true,false,false,Monday: 9:00 AM - 4:30 PM; Tuesday: 11:00 AM - 5:00 PM; Wednesday: 9:00 AM - 4:30 PM; Thursday: 9:00 AM - 4:30 PM; Friday: 9:00 AM - 4:30 PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network - Bronx Health Center,Bronx,40.852577,-73.881072,(718) 320-4466,http://www.chnnyc.org/our-locations/bronx-health-center,HIV Testing,true,true,false,false,Monday: 9:00AM - 6:00PM; Tuesday: 9:00AM - 5:00PM; Wednesday: 10:00AM - 6:00PM; Thursday: 9:00AM - 7:00PM; Friday: 9:00AM - 5:00PM; Saturday: 8:30AM - 3:30PM,,NYC Open Data: hiv_testing,
Community Healthcare Network,Community Healthcare Network-- Tremont Health Center,Bronx,,,718-294-5891,,HIV Testing,true,true,false,false,Monday: 9:00 AM- 5:00 PM; Tuesday: 11:00 AM -7:00 PM; Wednesday: 9:00 AM- 5:00 PM; Thursday: 9:00 AM- 5:00 PM; Friday: 9:00 AM- 5:00 PM; Saturday: 8:30 AM- 3:30 PM,,NYC Open Data: hiv_testing,
Destination Tomorrow,Destination Tomorrow,Bronx,40.880754,-73.860112,646-723-3325,,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_testing,
Destination Tomorrow,452 E 149th St,Bronx,40.81535,-73.915961,"sean@destinationtomorrow.org, asantiago@destinationtomorrow.org, drtillery@destinationtomorrow.org, eishelle@destinationtomorrow.org",http://destinationtomorrow.org/,HIV Testing,true,true,false,false,,,NYC Open Data: hiv_services,
