_2010_census_tract,additional_information,address,agency_name,ages_served,bbl,bin,borough,city_council_district,community_board,contact_phone,contacts_email,data_source,email,facilityname,free_self_tests,hours_friday,hours_monday,hours_saturday,hours_sunday,hours_thursday,hours_tuesday,hours_wednesday,latitude,longitude,nta,organization_phone,payment_cost,phone_number,service_type,special_populations_served,website,zip_code,zipcode
,,Urban Justice Center,Urban Justice Center (SWOP),,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,,,,,,
,,MIC Women's Health Center--Fort Greene,MIC Women's Health Center,13 and over. Parental consent not required.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,CLOSED,CLOSED,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,9:00 AM- 5:00 PM,,,,,,718-522-1144,,All,,11201,
,,IFH Westchester Avenue Center,The Institute for Family Health,13 and over. Parental consent not required.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,FALSE,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,CLOSED,CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,,,,,Yes,(718) 239-1610,,,,10462,
,,The Nigerian LGBT Community in New York City,The Nigerian LGBT Community in New York City,,,,,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,,,,,,
,,Healthy Latino Community,Healthy Latino Community,,,,QUEENS,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(347) 752-0852,,,,11432,
,,SUNY Downstate Medical Center STAR Health Center,SUNY Downstate Medical Center Suny Downstate Medical Center,21 and over.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,CLOSED,9:00 AM - 3:00 PM,CLOSED,CLOSED,CLOSED,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,,,,,,(718) 270-7293,,,http://www.downstate.edu/hiv/AETC.html,11203,
,,Planned Parenthood Federation of America,Planned Parenthood Federation of America (Global Central Office),,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,,,,,,,,,,,,,(212) 541-7800,,,http://www.plannedparenthood.org,10001,
,,Community Healthcare Network - Tremont Health Center,Community Healthcare Network,13 and over.,,,BRONX,,,,,NYC Open Data: hiv_testing,,,TRUE,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,CLOSED,CLOSED,9:00 AM - 4:30 PM,11:00 AM - 5:00 PM,9:00 AM - 4:30 PM,,,,,Yes,(718) 294-5891,,,http://www.chnnyc.org/our-locations/tremont-health-center,10457,
,,Ryan Women and Children's Center,William F. Ryan Community Health Network,,,,MANHATTAN,,,,,NYC Open Data: hiv_testing,,,FALSE,8:30 am - 4:30 pm,8:30 am - 7:00 pm,9:30 am- 1:00 pm,,8:30 am - 7:00 pm,8:30 am - 4:30 pm,8:30 am - 4:30 pm,,,,,,212-316-8300,,,http://www.ryancenter.org/find.htm,10025,
,,Caribbean Women's Health Association,Caribbean Women's Health Association,13 and over. Parental consent not required.,,,BROOKLYN,,,,,NYC Open Data: hiv_testing,,,TRUE,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,CLOSED,CLOSED,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,,,,,,(718) 826-2942,,All,www.cwha.org,11203,
